📡温馨提示👉公告,#genre#
CCTV6[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728804b1f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdazJhFQmuq4XUiks9ZrIlJN%2BknLs8H%2BSxcDXy%2BTesEc8Q0KCN89MjYoj85Sol1kbKI4
CCTV7[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000380
CCTV8[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728970aa82/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdDh4EPdDnvGlSBkYaxFdaymid9ta2tVUW0%2FdVrFqszC1EVEkAbpip1IYxn%2Ba2aA%2BVAihIiw9D8ejUsDbfU0K68
CCTV9[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000373
CCTV10[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000375
CCTV11[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000497
CCTV12[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000377
CCTV13[1920x1080],http://live-cmvideo.cmread.com:80/migu/kailu/cctv13/57/20220913/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8c9a1b49296e1bb073f1c7c04835b378#http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel39/2300.m3u8#http://wshls.live.migucloud.com/live/QB8SRKL9_C0/playlist.m3u8
CCTV14[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000378
CCTV15[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000501
CCTV16[1920x1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV17[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000494
CCTV4K[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=cctv4k
CCTV8K超高清[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=cctv8k
CCTV16-4K[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=cctv16-4k
欢笑剧场4K[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000009455
CGTN[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f4f64099/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUap6gG4YPDtM5jJ9BeY859LkHVEKIeieCbU4HUV%2BZ9aFwSHAnd8F70VqU6TYif81mMC79YJ%2BEEiYI8DYDTaxhzE
CGTNDOCUMENTARY[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000528
中国教育1台[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000481
中国教育1台[1024x576],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010103/1.m3u8
中国教育4台[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031126
求索记录[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000010
求索生活[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000008
求索科学[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000011
求索动物[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000009

CHC高清电影[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380764b172c9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNS8qWmEGeaUedzcFVVumqf9cm8lJoOcrIZueLbqOJTuoPV%2FwBk6CoHYGFV14SkLW04
CHC动作电影[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNSXQZMUEnZPBI3Y%2BI8ABE4PJC%2B6OvlZZw5ubC%2FbrIdxFJJY1CcAGU%2BYDDQV9oJ%2FVqQ
CHC家庭影院[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807601b19dd/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNRxu2SqX2RKsLT0S7AyQ8XopIVrD6IJGxdajeuKy4iZqZ4tkZuiEpwSRPszF6PIvg4

浙江卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000248
湖南卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000174
东方卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000182
北京卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000173
卡酷少儿[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=7851974109718180595
山东卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000364
安徽卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000368
重庆卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000523
广东卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000341
深圳卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000176
江苏卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000177
天津卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000249
湖北卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000250
黑龙江卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000175
江西卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000522
辽宁卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000367
四川卫视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3840706BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUexeCsKxlG2LwkJhai31bTGuXYXralHX2VS7ob25to85GPdBSQnb6X4MP9N0MoC%2FOefakVOC0E4dsoMVDkuWsho
东南卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000502
海南卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000262
三沙卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=08984400000000060000000000000319
三沙卫视[1920x1080],http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000117/1.m3u8
广西卫视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000045BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QPdo%2FUL80msfbhDYvoWpNl3Ui3SDbjEyrngRN3z0PFPHWA%2BXaedl3%2F3flCrB%2Fqh7fg
河北卫视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN100000002BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUaxEcGF7BsTm3tBZ5QM10A3THYCGyx0KiW2nghgGHiPYyNBht0ohR2xRP7wFZyAPWYATALvCqK4y6nrLdX80fn4
河南卫视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000044BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QOuXozn3alq9%2BUx7ZLG1w9aOfw%2Ftj8uByLI%2F9b3T9xKHSKRmZDiwMOFotvfGaGd4Uw
云南卫视[1920x1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010119/1.m3u8
贵州卫视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN4252663BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUdU0MzAxFlzyxwiiSP3V3o4YgTd85YleALR8HHnPHszLOK1g6ts8oU5k12ayN74FbOAmnKUze1Wh5%2FkX5b2rvxw
吉林卫视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000046BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUd3JM2PCgDefrKOVZLNt0QOVSARKsxkWGZw7vFUuOj2QqUR6TTs3uuC0H2mr3p6fRRazyiEPmSIyh%2BRO1%2BU3q84
甘肃卫视[1920x1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8
甘肃卫视[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031121
青海卫视[1920x1080],http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8
内蒙古卫视[1920x1080],https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
山西卫视[1280x720],http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
西藏卫视[1920x1080],http://php.jdshipin.com:8880/xztv.php?id=ws
兵团卫视[1920x1080],http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
海峡卫视[1920x1080],http://php.jdshipin.com:8880/PLTV/iptv.php?id=hxws
海峡卫视[1920x1080],http://php.jdshipin.com:8880/fujian.php?id=9
海峡卫视[1920x1080],http://php.jdshipin.com:8880/bst.php?id=hxwshd4m/4000000
西藏藏语卫视[1920x1080],http://php.jdshipin.com:8880/xztv.php?id=zy
内蒙古蒙古语卫视[1920x1080],https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880



梨园频道[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0q1S1k1f36SqqriM0FZoFSAJRfCt8SS7X6sTRmXb81a8O4H%2FdroDKjLoDeaMQdyJQ
湖南娱乐[1024x576],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=6427893650335440392
湖南国际[1024x576],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=5015828848322021526
赣州综合[1920x1080],http://115.150.63.77:9902/tsfile/live/0001_50.m3u8?key=txiptv
陶瓷频道[1280x720],http://php.jdshipin.com:8880/PLTV/iptv.php?id=taoci
上海新闻综合[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031110
东方影视[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000032212
东方影视[1920x1080],http://php.jdshipin.com:8880/bst.php?id=dfyshd8m/8000000
上海第一财经[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000027146
东方财经[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000007000010003
1905电影网1[1920x1080],http://php.jdshipin.com:8880/1905.php?id=1905dy
广州南国都市[1920x1080],http://php.jdshipin.com:8880/PLTV/iptv.php?id=gzngds
广州南国都市[1920x1080],http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广州影视[1280x720],http://php.jdshipin.com:8880/PLTV/iptv.php?id=gzys
广州影视[1280x720],http://php.jdshipin.com:8880/gztv.php?id=yingshi

西藏影视文化[1920x1080],http://php.jdshipin.com:8880/xztv.php?id=ys
湖北影视[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380728abccd2/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUUAdKgLqNB5aOAUhcp5CeNKU1xiiKGJYFBZK9RpEkaggogtHJZW6nJQqLppbEYE%2BqJ9kJW%2FMvKldfS2dCii9VSI
安徽影视[1920x1080],http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
重温经典[1920x1080],http://php.jdshipin.com:8880/yfy.php?id=cwjd


SITV都市剧场[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031111
全纪实[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031112
哈哈炫动[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031123
游戏风云[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031114
魅力足球[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031207
快乐垂钓[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031206
茶[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000002000000070

哒啵电竞[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=ystenlive&id=1000000006000032327
金鹰纪实[1920x1080],http://php.jdshipin.com:8880/PLTV/hnyd.php?id=00000001000000060000000000000482
金鹰卡通[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000057BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0T0ZQXwaiVktPr6ILPKXqwOw2VoxnxHvBSRSzCCC3szSwIgrD0rUpRXeaqChwLXCf0


武术世界[1920x1080],http://live.dxhmt.cn:9080/live/yshnpre.m3u8
武术世界[1280x720],http://php.jdshipin.com:8880/hntv.php?id=wspd
文物宝库[1920x1080],http://live.dxhmt.cn:9080/19903718786/503136115d714e6796389709a5c74f77.m3u8
文物宝库[1280x720],http://php.jdshipin.com:8880/hntv.php?id=wwbk
SITV法治天地[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=9001547084732463424
SITV金色学堂[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000010000026105
动漫秀场[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031113
生活时尚[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000002000019634
新视觉[1920x1080],http://php.jdshipin.com:8880/bst.php?id=xsjhd/4000000
新视觉[1920x1080],http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000249
劲爆体育[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000002000000008
五星体育[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000002000000007
七彩戏剧[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=bestzb&id=5000000011000031116
兵器科技[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077907bdcd/1.m3u8?m3u8_level=2
兵器科技[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=bqkj
电视指南[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=dszn
央视台球[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/1.m3u8?m3u8_level=2
央视台球[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=ystq
高尔夫网球[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807743b61bb/1.m3u8?m3u8_level=2
高尔夫网球[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=gefwq
世界地理[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/1.m3u8?m3u8_level=2
世界地理[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=sjdl
怀旧剧场[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=hjjc
文化精品[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=whjp
风云剧场[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=fyjc
第一剧场[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077f5ca035/1.m3u8?m3u8_level=2
第一剧场[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=dyjc
风云音乐[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=fyyy
风云足球[1920x1080],http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077160c04a/1.m3u8?m3u8_level=2
风云足球[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=fyzq
女性时尚[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=nxss
卫生健康[1920x1080],http://cdn.jdshipin.com:8880/ysp.php?id=wsjk

精彩影视[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000063
爱电竞[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000054
爱谍战[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000038
爱动漫[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000059
爱经典[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000037
爱科幻[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000033
爱科学[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000047
爱浪漫[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000035
爱历史[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000046
爱旅行[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000056
爱奇谈[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000058
爱青春[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000041
爱赛车[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000055
爱体育[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000060
爱玩具[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000053
爱喜剧[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000032
爱悬疑[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000036
爱幼教[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000049
爱院线[1920x1080],http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000004000000034
华语影院[1920x1080],http://php.jdshipin.com:8880/bst.php?id=hyyy8m/8000000
星光影院[1920x1080],http://php.jdshipin.com:8880/bst.php?id=xgyy8m/8000000
全球大片[1920x1080],http://php.jdshipin.com:8880/bst.php?id=qqdp8m/8000000
热门剧场[1920x1080],http://php.jdshipin.com:8880/bst.php?id=rmjc8m/8000000
谍战剧场[1920x1080],http://php.jdshipin.com:8880/bst.php?id=dzjc8m/8000000
青春动漫[1920x1080],http://php.jdshipin.com:8880/bst.php?id=qcdm8m/8000000
宝宝动画[1920x1080],http://php.jdshipin.com:8880/bst.php?id=bbdh8m/8000000
戏曲精选[1920x1080],http://php.jdshipin.com:8880/bst.php?id=xqjx8m/8000000
热门综艺[1920x1080],http://php.jdshipin.com:8880/bst.php?id=rmzy8m/8000000
健康养生[1920x1080],http://php.jdshipin.com:8880/bst.php?id=jkys8m/8000000
看天下精选[1920x1080],http://php.jdshipin.com:8880/bst.php?id=ktxjx8m/8000000


🎡咪咕V6👉全网,#genre#
CCTV1,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225816/index.m3u8
CCTV2,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225513/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225708/index.m3u8
北京卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225931/index.m3u8
东方卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225942/index.m3u8
东南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225950/index.m3u8
广东卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225966/index.m3u8
贵州卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225974/index.m3u8
海南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225978/index.m3u8
河北卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225988/index.m3u8
黑龙江卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225985/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225975/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226000/index.m3u8
吉林卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225981/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225938/index.m3u8
江西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225935/index.m3u8
山东卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225952/index.m3u8
山西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221226009/index.m3u8
陕西卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225989/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225943/index.m3u8
四川卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225970/index.m3u8
天津卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225972/index.m3u8
西安新闻,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225993/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225959/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225963/index.m3u8
黑龙江都市,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225969/index.m3u8
黑龙江农业,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225994/index.m3u8
黑龙江少儿,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225979/index.m3u8
黑龙江文体,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225965/index.m3u8
黑龙江新闻,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225967/index.m3u8
黑龙江影视,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225973/index.m3u8
咪咕足球,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225895/index.m3u8
咪咕体育,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225895/index.m3u8
